name,white,black,api,aian,hispanic
Nguyen,3.564222488951254e-05,1.8101321058545948e-05,0.052077234036095744,8.715628985653808e-05,7.278957505435522e-05
Smith,0.014847249664887655,0.019465712443172193,0.0015070122024190662,0.014465282855426344,0.0015479599474109182
Johnson,0.009770144166027828,0.023077736243961398,0.0012876534061930245,0.012087446367279268,0.0012042886022957415
Lee,0.002135636169654385,0.0039019897247937205,0.036098463230012624,0.004472248705462969,0.0003458098854051305
Williams,0.006373709293716141,0.02671823945654938,0.000922343284918947,0.008866655533725825,0.0010684516912857097
Jones,0.006743709533045367,0.01891229472067558,0.0007738011079469817,0.009484068029808782,0.0008618317368514029
Garcia,0.0005377792840051342,0.0001809442531719031,0.002028513682535758,0.0036465925549899634,0.028333810720650325
Brown,0.007138362739854688,0.01763865129228951,0.0009042073214514397,0.008317770502186558,0.0009560859200012208
Martinez,0.00047982423771413034,0.0001791168817126594,0.0007847813851483978,0.003597359230948866,0.026005547584725997
Kim,5.6669251742320196e-05,3.5271717034080956e-05,0.03057748115401973,3.4596389866717406e-05,4.501495301692987e-05
Rodriguez,0.0004458192578832751,0.00020387259317939462,0.0007699765170116571,0.0013113362389865386,0.027106922235784203
Hernandez,0.0003389354430330269,0.00012950202265885443,0.0007723206211333077,0.0013186547060737288,0.026136896201300323
Patel,4.139401250395768e-05,3.0134389724131727e-05,0.026891562483575847,0.0009946462086681256,2.6718552758435795e-05
Lopez,0.00036432559938770123,0.00017187635328924105,0.0011004951981643937,0.0022108423755211916,0.021454232214796677
Davis,0.005952148692984699,0.012163018911432752,0.000674855239233098,0.006090295246921752,0.0007191567772599136
Gonzalez,0.000290529564256914,0.00010150531275497003,0.0003943029880418613,0.0007830759783293537,0.021087617764595452
Tran,2.181564750933367e-05,6.4819968742983574e-06,0.02232549440240273,3.792296581544023e-05,4.031544472542634e-05
Thomas,0.003411281513367155,0.010102433479541439,0.002276248476023886,0.00538306520022328,0.0005070716643068359
Jackson,0.002421245426771669,0.012949374776922767,0.00034075871494731563,0.0049938558142227085,0.0004673634594168285
Chen,2.0349841723834236e-05,1.7549661750095023e-05,0.020109945885739482,2.2620716451315226e-05,2.3286327601719732e-05
Perez,0.000289818091273309,0.00010574619368868651,0.0009839068615875605,0.0009068246036218428,0.016727846960142862
Miller,0.008373822717939263,0.004308838464776277,0.0007738011079469817,0.005099640929392095,0.0006654028509593452
Wilson,0.004630129025882737,0.00718567280093429,0.0005935518383821634,0.005655179112828807,0.000552561848499311
Sanchez,0.0002615734710205568,9.505779458744985e-05,0.0007256852865025744,0.00150826953515093,0.015043654075742291
Taylor,0.004210034230936794,0.007360997024901349,0.0005190340020939019,0.0037982844182517248,0.0004879040068931754
Ramirez,0.00018587445995771763,5.9579205312699804e-05,0.0006395703035071992,0.0007418264365651906,0.01390455134969218
White,0.0037089858112057243,0.006415108183148684,0.0003992379440874415,0.004701782445924845,0.000415035226642896
Thompson,0.003975582452929805,0.005401330767749775,0.0004673403375164488,0.005395040873638682,0.0004369486641819293
Harris,0.0027504516910529892,0.00912375538764272,0.00036197902594331066,0.0027823481235117733,0.0003724756346996168
Moore,0.004123603121374274,0.006928185818714821,0.00042897105426206245,0.0032773426246817295,0.00044750935697182484
Anderson,0.005054338363384468,0.005119674212078801,0.0005903441169525363,0.003862154676467203,0.0005053027482645284
Martin,0.004505115507896048,0.0038179651163752887,0.000780216550806236,0.004581360396581078,0.0010314100613251509
Lewis,0.002654359978448027,0.006387973440914253,0.00036740747759344893,0.0042453762257600725,0.0003622317626934181
Li,1.428089145404711e-05,7.309485836974744e-06,0.0133473288686786,1.4636934174380442e-05,1.8586819310216206e-05
Le,1.4169455926494522e-05,8.792070228436602e-06,0.013086639815570822,2.195540126157066e-05,2.1966241002982788e-05
Flores,0.00018115987994587736,6.285468245662716e-05,0.001113696205586321,0.0009813399048732342,0.01053405344233306
Singh,4.293696596237814e-05,0.0001803236364498958,0.011921990188813887,0.0008935182998269515,7.706665563426293e-05
Wang,2.439580857035899e-05,1.0998707462240299e-05,0.012911448875952724,1.4636934174380442e-05,1.0164666810274487e-05
Robinson,0.0022117637789001187,0.008207621669839626,0.00030066219707697615,0.00186820505280274,0.0003650831497466899
Yang,9.360584314417433e-06,7.309485836974744e-06,0.012664454325871433,1.3971618984635875e-05,1.2593626151950469e-05
Torres,0.00020078110475879078,8.605885211834414e-05,0.0007724439950344471,0.0005828161062162394,0.010652782031023461
Walker,0.0026304527718061673,0.006321912238727256,0.0002904221632823972,0.0030278494285275177,0.00033284663500553365
Wong,3.3224931137987155e-05,3.034126196480082e-05,0.011883991027262918,2.9939183538505448e-05,0.00011761971594746193
Clark,0.0036005676148607134,0.003689980156814675,0.00037480991166181926,0.0037809862233183656,0.000383273943077285
Rivera,0.00018103987245466683,0.00012812287438772712,0.0009844003571921186,0.00046838189358017413,0.00940292403933932
