name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Michael,0.002014915338964184,0.0036017225521746314,0.0026696392589952603,0.002600738658393085,0.0031831136324035137,0.02169706028692656,0.03913051062097622,0.03223929222323398,0.02742377172180643,0.03412436646273897
David,0.0016624827099011202,0.0021360924424163484,0.0012876306743406867,0.0019065919526235007,0.0020348958208716134,0.021323763238531364,0.027643175136601607,0.018521956266406268,0.023946985399853724,0.02598467303147854
James,0.000992534051298225,0.002304937451396749,0.0021176738927734767,0.001603100888759911,0.0022859646532030964,0.011529213917762049,0.027013110423540966,0.027586854892521277,0.01823482149418699,0.026435781577961368
John,0.0011191870388872669,0.0019797984749990332,0.0013184802325319905,0.0015746450211544714,0.002025201127261646,0.0152896816523256,0.027288390650042706,0.020200318627082978,0.021065162542445774,0.027544335109286996
Robert,0.0011607123304016966,0.0018476846829264997,0.0013746680994474038,0.001015589463060778,0.001924087663035108,0.014716996776872231,0.02363652471999286,0.019547052395918967,0.012609537637675493,0.024287779625781176
Daniel,0.0017140679401012582,0.0015693960720399567,0.0008703087440419402,0.0012501975558392444,0.001935050423519574,0.020139834718449646,0.018604654045283685,0.011468062282034867,0.014384437875113714,0.022635417979762762
William,0.0007534837756520299,0.0014842859345566824,0.001201402289337938,0.0009673787248879107,0.001386141948715487,0.011142685387116697,0.02214596974832046,0.019924766661779073,0.01400873352681459,0.02040760463024449
Joseph,0.0010034771381606977,0.0013460117611257963,0.0011022907292576611,0.0011348329179879876,0.0015046525943237727,0.013586579328991823,0.01838707587538341,0.016737385805081453,0.01504599628971185,0.020281835061329224
Christopher,0.0009600035679425121,0.0016722825473226963,0.0011961369092459726,0.001131614215307037,0.0017187662893303507,0.011761382464931084,0.02067075551237809,0.01643445260233868,0.013575952175519155,0.020963834133215033
Anthony,0.0009000118581947165,0.0008755096509773496,0.0012597963411263994,0.0009421449651534494,0.0011249246602356273,0.011439997418282987,0.011227932676676995,0.01795836785807272,0.011726861763278553,0.014235394077818347
Elizabeth,0.01644857209790543,0.015342667200614477,0.009790237390145331,0.011885334894251288,0.014549140693467088,0.00062925749227325,0.0005921915750065435,0.0004200318670510331,0.0004452439172818722,0.0005541226442858621
Jennifer,0.010413059309643067,0.01738476995107849,0.009636057058269962,0.014803999891082345,0.013589162694817771,0.0004676838978989666,0.0007877786217402712,0.0004853580805008362,0.0006510877556687756,0.0006076243028934442
Thomas,0.0004614364833500696,0.0010963561158934556,0.0006303394282742357,0.0007793930586695089,0.0010633626599977945,0.006630403392871046,0.01589427905239987,0.010157605038272986,0.01096657304217425,0.015211701361106585
Mary,0.008965741204021,0.013025432931740502,0.012162731646772864,0.009305561922558691,0.015957378068528167,0.0003839764976334848,0.0005628229244232154,0.0005841688495065222,0.00039025405719313194,0.0006803749897316836
Matthew,0.000541904335647449,0.0012685496225569443,0.0005212522554004927,0.0006325821852200548,0.0010164715095269659,0.00756746313847304,0.01787295311547973,0.008163275646061804,0.008650297119727467,0.014131597551243996
Andrew,0.000566378483563432,0.0009543861053722654,0.0006323098559760649,0.000962739481653825,0.0009245023512845976,0.0077348801481095675,0.013150192717995933,0.009684241687049016,0.012874844844442106,0.01256965113918547
Maria,0.029615753031912787,0.005418472160841237,0.004309485491388743,0.011827226734290807,0.003481392935881767,0.0018251373119600874,0.00033690757633440544,0.0002978427359199912,0.00071374333469925,0.00021359651844699205
Jessica,0.013691803236163452,0.011382761592639271,0.0070593373488650486,0.009445512086680924,0.01131273226110253,0.0005825626512793553,0.0004886420032935064,0.0003368486032656571,0.0003935445261443627,0.00047920115876482194
